id,playername,score,coins,kills,damagedealt,dps,timestamp,game_time
1,ndeangelo0,529,9384,49,5980,932,8/19/2022,2981
2,lclaeskens1,989,6449,96,3949,659,3/6/2022,2121
3,owilkisson2,839,3371,60,8608,80,1/12/2022,2116
4,bcastanyer3,546,8889,63,115,870,7/25/2022,581
5,bhughson4,840,108,35,3672,33,3/27/2022,2416
6,efernao5,823,1743,25,8491,492,7/13/2022,1433
7,lollivierre6,157,9680,61,5601,242,5/12/2022,3162
8,lplayhill7,999,5876,51,9087,694,6/27/2022,1084
9,bciciura8,324,4965,97,1983,564,5/30/2022,279
10,ckippling9,895,2333,8,7853,345,3/1/2022,1502
11,lcolletea,826,3465,50,8978,255,11/16/2022,728
12,hburkmanb,834,8422,76,113,391,10/4/2022,1908
13,nvanyc,547,2455,91,1403,850,10/2/2022,26
14,jcuestad,999,9429,87,5854,440,3/25/2022,2099
15,rpillingtone,841,9561,23,9382,537,10/5/2022,2622
16,cdellatorref,820,974,56,1591,180,5/4/2022,2721
17,afairleyg,627,6608,29,1414,906,7/3/2022,3294
18,gmcfarlaneh,632,7070,84,9137,788,3/24/2022,282
19,bdolohuntyi,69,1529,82,3943,478,1/24/2022,905
20,cbedbroughj,161,7242,46,119,114,9/30/2022,3325
21,cchuckk,743,1395,26,3933,805,9/17/2022,1159
22,lraulstonel,651,4562,5,7578,537,5/1/2022,2056
23,cnovakovicm,55,2338,95,3919,679,1/12/2022,1673
24,cstellen,998,7047,17,1006,1000,1/19/2022,3429
25,cnoello,823,635,62,6675,544,5/8/2022,255
26,arultenp,71,8873,94,9762,125,10/12/2022,551
27,cbriskeyq,850,868,16,842,921,6/3/2022,1497
28,drenshallr,134,6523,16,7047,965,7/5/2022,3553
29,kwilkennsons,798,3413,45,9640,466,10/20/2022,1618
30,bmaccardlet,473,3899,42,6960,145,5/13/2022,420
31,ashayu,609,9685,85,7749,928,11/13/2022,2990
32,lantoniottiiv,338,6449,51,2316,443,3/27/2022,1278
33,elandallw,341,6112,79,4873,379,8/31/2022,2472
34,fconeleyx,985,9971,92,5698,805,1/14/2022,438
35,mloinsy,499,1470,62,9770,529,4/27/2022,1909
36,psouthwoodz,224,6273,21,3466,843,8/16/2022,1594
37,hmcnirlan10,549,2243,80,9794,120,1/28/2022,311
38,ldrinkel11,107,7819,16,3755,324,1/26/2022,461
39,fdotterill12,289,77,2,4547,547,5/7/2022,1071
40,cwhitlaw13,483,3543,20,3695,472,7/8/2022,1579
41,msambrok14,656,3365,69,804,696,11/30/2022,2727
42,asmart15,287,1904,64,1297,646,11/1/2022,3188
43,cwaistell16,686,3456,29,6858,858,4/4/2022,590
44,lricciardello17,467,4025,88,7472,706,5/16/2022,3470
45,qcoweuppe18,621,3707,71,3650,52,5/19/2022,1763
46,kparkeson19,804,484,33,6043,178,11/3/2022,1657
47,rkitchinham1a,477,4237,52,1328,783,8/31/2022,1815
48,mneligan1b,253,2831,73,7060,889,6/22/2022,2966
49,mpenquet1c,573,2095,15,359,662,1/4/2022,934
50,bmagill1d,347,4516,71,1467,228,11/14/2022,1041
