file,class,method,variable,usage
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/ui/menu/StageManager.java,de.dhbw.tinf22b6.ui.menu.StageManager,setStage/1[de.dhbw.tinf22b6.ui.menu.Stage],stage,1
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/ui/menu/StageManager.java,de.dhbw.tinf22b6.ui.menu.StageManager,"StageManager/2[de.dhbw.tinf22b6.ui.menu.Game,de.dhbw.tinf22b6.ui.menu.Music]",game,2
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/ui/menu/StageManager.java,de.dhbw.tinf22b6.ui.menu.StageManager,"StageManager/2[de.dhbw.tinf22b6.ui.menu.Game,de.dhbw.tinf22b6.ui.menu.Music]",menuMusic,2
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/ui/menu/StageManager.java,de.dhbw.tinf22b6.ui.menu.StageManager,"resize/2[int,int]",width,1
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/ui/menu/StageManager.java,de.dhbw.tinf22b6.ui.menu.StageManager,"resize/2[int,int]",height,1
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/ui/ingame/HudStage.java,de.dhbw.tinf22b6.ui.ingame.HudStage,draw/0,time,3
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/ui/ingame/HudStage.java,de.dhbw.tinf22b6.ui.ingame.HudStage,HudStage/0,skin,5
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/world/WorldListener.java,de.dhbw.tinf22b6.world.WorldListener,WorldListener/1[de.dhbw.tinf22b6.screen.GameScreen],gameScreen,2
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/world/WorldListener.java,de.dhbw.tinf22b6.world.WorldListener,"postSolve/2[de.dhbw.tinf22b6.world.Contact,de.dhbw.tinf22b6.world.ContactImpulse]",contact,0
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/world/WorldListener.java,de.dhbw.tinf22b6.world.WorldListener,"postSolve/2[de.dhbw.tinf22b6.world.Contact,de.dhbw.tinf22b6.world.ContactImpulse]",impulse,0
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/world/WorldListener.java,de.dhbw.tinf22b6.world.WorldListener,beginContact/1[de.dhbw.tinf22b6.world.Contact],fixB,12
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/world/WorldListener.java,de.dhbw.tinf22b6.world.WorldListener,beginContact/1[de.dhbw.tinf22b6.world.Contact],fixA,20
/Users/martin/repos/Underwatch/game/core/src/main/de/dhbw/tinf22b6/world/WorldListener.java,de.dhbw.tinf22b6.world.WorldListener,beginContact/1[de.dhbw.tinf22b6.world.Contact],nextWorld,3
